year,trade_count,pnl_usd,pnl_points
2021,371,4364.5,2182.25
2022,360,8173.0,4086.5
2023,393,578.5,289.25
2024,373,10305.5,5152.75
2025,376,9174.5,4587.25
2026,174,8793.0,4396.5
