datetime,open,high,low,close,side,research_entry_time,research_exit_time,research_entry_price,research_exit_price,research_exit_reason,paper_entry_time,paper_exit_time,paper_entry_price,paper_exit_price,paper_exit_reason,research_atr_at_entry_if_available,paper_atr_at_entry,research_stop_price_if_available,paper_initial_stop_price,paper_stop_touched,paper_opposite_10_touched,rolling_low_10,rolling_high_10,atr20,note
2025-10-23T18:00:00,25084.5,25092.25,25045.25,25065.0,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25068.0,25128.25,21.775,
2025-10-23T18:15:00,25065.25,25065.75,25029.0,25047.75,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25045.25,25128.25,22.95,
2025-10-23T18:30:00,25048.0,25054.5,25039.75,25044.0,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25029.0,25128.25,23.4375,
2025-10-23T18:45:00,25044.5,25063.5,25025.0,25058.75,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25029.0,25122.0,23.1375,
2025-10-23T19:00:00,25060.0,25068.25,25055.0,25058.75,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25025.0,25115.0,24.4375,
2025-10-23T19:15:00,25058.75,25067.75,25051.25,25055.0,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25025.0,25115.0,24.4125,
2025-10-23T19:30:00,25055.0,25064.0,25046.5,25046.75,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25025.0,25115.0,24.2125,
2025-10-23T19:45:00,25046.75,25053.25,25035.0,25049.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25025.0,25103.0,24.2375,
2025-10-23T20:00:00,25049.25,25052.75,24987.25,25002.25,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,25025.0,25102.5,23.8375,
2025-10-23T20:15:00,25002.25,25019.75,24996.5,25017.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24987.25,25092.25,26.025,
2025-10-23T20:30:00,25018.0,25018.0,24983.5,24988.75,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24987.25,25092.25,26.3,
2025-10-23T20:45:00,24988.75,24991.25,24963.0,24973.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24983.5,25068.25,27.0625,
2025-10-23T21:00:00,24973.5,24974.5,24955.5,24959.0,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24963.0,25068.25,27.4375,
2025-10-23T21:15:00,24960.0,24974.75,24938.25,24970.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24955.5,25068.25,27.0875,
2025-10-23T21:30:00,24972.0,24973.25,24933.25,24963.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24938.25,25068.25,26.2125,
2025-10-23T21:45:00,24963.5,25011.75,24960.75,25008.0,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24933.25,25067.75,27.2,
2025-10-23T22:00:00,25008.0,25014.75,24940.25,24979.0,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24933.25,25064.0,28.8625,
2025-10-23T22:15:00,24978.5,25019.5,24974.0,25016.25,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24933.25,25053.25,31.2375,
2025-10-23T22:30:00,25016.25,25092.75,24998.75,25092.25,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24933.25,25052.75,32.825,
2025-10-23T22:45:00,25092.0,25179.75,25091.25,25160.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,,,24933.25,25092.75,36.7125,
2025-10-23T23:00:00,25160.5,25176.25,25102.0,25136.5,long,2025-10-23T23:00:00,2025-10-25T05:00:00,25160.5,25509.25,opposite_10,2025-10-23T23:00:00,2025-10-23T23:30:00,25160.5,25147.25,long_atr_stop,40.15,36.7125,25080.2,25087.075,False,False,24933.25,25179.75,40.15,entry_bar
