datetime,open,high,low,close,side,research_entry_time,research_exit_time,research_entry_price,research_exit_price,research_exit_reason,paper_entry_time,paper_exit_time,paper_entry_price,paper_exit_price,paper_exit_reason,research_atr_at_entry_if_available,paper_atr_at_entry,research_stop_price_if_available,paper_initial_stop_price,paper_stop_touched,paper_opposite_10_touched,rolling_low_10,rolling_high_10,atr20,note
2024-12-03T20:30:00,21193.75,21204.75,21191.0,21199.75,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21187.25,21223.75,11.775,
2024-12-03T20:45:00,21199.75,21211.75,21199.5,21207.0,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21187.25,21223.0,12.125,
2024-12-03T21:00:00,21207.25,21216.0,21194.5,21194.5,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21187.25,21222.5,12.425,
2024-12-03T21:15:00,21195.0,21212.0,21186.25,21206.0,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21187.25,21222.5,12.775,
2024-12-03T21:30:00,21205.75,21221.75,21203.25,21219.75,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21186.25,21222.5,13.55,
2024-12-03T21:45:00,21219.5,21220.25,21201.75,21207.0,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21186.25,21222.5,14.05,
2024-12-03T22:00:00,21207.25,21215.0,21203.5,21213.5,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21186.25,21221.75,14.6625,
2024-12-03T22:15:00,21213.25,21214.75,21198.25,21207.0,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21186.25,21221.75,13.85,
2024-12-03T22:30:00,21207.25,21219.75,21203.0,21218.75,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21186.25,21221.75,13.9125,
2024-12-03T22:45:00,21218.75,21225.75,21195.0,21196.0,long,2024-12-04T01:30:00,2024-12-05T10:00:00,21250.75,21497.75,opposite_10,2024-12-04T01:30:00,2024-12-04T02:45:00,21250.75,21208.5,long_atr_stop,30.9,29.85,21188.95,21191.05,,,21186.25,21221.75,14.175,
